推,噓,分數,作者,標題,時間
15,8,7,ltyintw (菈米雅嘶嘶),[問卦] 各縣市的貶稱是什麼,Sun Aug 23 00:45:10 2020
1,0,1,heisaboyo (heisaboyo),[問卦] 這種人都是什麼心態?,Sun Aug 23 02:43:10 2020
18,5,13,FL5566 (小魯妹),[問卦] 美國賣台灣最強淺水艇不就解決了??,Sun Aug 23 00:57:33 2020
13,5,8,RocktheBeat (席爾薇雅俺の嫁),[問卦] 半夜有網友願意幫我送餐很暖嗎,Sun Aug 23 02:15:21 2020
49,5,44,Rossini (威廉泰爾),[新聞] 男子午睡突被壓醒 驚見一頭母獅趴胸口狠瞪,Sun Aug 23 01:17:25 2020
28,7,21,CHL98 (CHL),[新聞] 來台檢舉盜版AV！日籍男遭球棒狂毆…法院,Sun Aug 23 04:38:21 2020
1,0,1,ht91008 (色情狂),Re,Sun Aug 23 02:17:52 2020
8,1,7,Changyaya (),Re,Sun Aug 23 02:15:31 2020
8,36,-28,gentleman888 (),[新聞] 民進黨鐵腕逐客 陸生改赴英怨像次等人,Sun Aug 23 08:04:52 2020
7,1,6,gn01982667 (冬瓜茶),[問卦] 30歲的服務業存款多少合格？,Sun Aug 23 02:18:42 2020
14,3,11,Dinenger (低能兒),Re,Sun Aug 23 01:47:09 2020
8,2,6,takashi01 (中和孔劉),[問卦] 手機桌布會放自己的本命嗎？,Sun Aug 23 00:11:57 2020
21,3,18,tony900735 (好貴！  好貴！),[問卦] 台中會發展出怎樣的捷運文化？,Sun Aug 23 05:00:35 2020
13,2,11,Axwell (Axwell),[問卦] 有沒有熵的八卦？,Sun Aug 23 07:54:43 2020
4,3,1,Ninja650r (忍者),[問卦] 美國是不是有實力統一全世界?,Sun Aug 23 00:59:29 2020
9,3,6,seabox (盒盒),[公告] 水桶,Sun Aug 23 01:19:50 2020
10,1,9,Workforme (′‧ω‧‵),[新聞] 向友借錢不還 男竟還嗆「你這條命別想要,Sun Aug 23 06:01:25 2020
4,3,1,kinghole (安),[新聞] 聯合國警告疫情或導致饑荒，公眾囤糧必要,Sun Aug 23 02:19:43 2020
0,0,0,elfria (狠愛演鐵粉),Re,Sun Aug 23 01:54:09 2020
7,0,7,Dinenger (低能兒),Re,Sun Aug 23 02:38:50 2020
8,0,8,bubu26 (白寶),[問卦] 全聯的閃電泡芙在甜食界是什麼地位?,Sun Aug 23 00:17:42 2020
37,7,30,aoku0321 (奧),[問卦],Sun Aug 23 03:57:05 2020
7,1,6,ltyintw (菈米雅嘶嘶),Re,Sun Aug 23 01:21:39 2020
6,8,-2,tml7415 (國民黨不倒 台灣不會好),Re,Sun Aug 23 00:20:43 2020
23,11,12,lianpig5566 (家庭教師殺手里包恩),[問卦] 最近過年越來越沒有年味了,Sun Aug 23 03:12:50 2020
7,2,5,Kulapica (酷拉皮卡),[問卦] 為什麼不販賣快篩試劑一人限購一份,Sun Aug 23 08:49:34 2020
7,6,1,eierom (非),[新聞] 中共加速崩潰…他曝美國恐擔心這件事,Sun Aug 23 07:23:13 2020
9,0,9,sodistrues (true),[問卦] 金庸初版倚天張無忌當峨嵋掌門也太爽？,Sun Aug 23 07:24:53 2020
2,0,2,bwnzer (布 溫瑟),Re,Sun Aug 23 00:41:57 2020
10,5,5,nightwing (內觀自心),[新聞] 民進黨台南辦青年培訓營 賴清德：國家未,Sun Aug 23 07:43:25 2020
4,0,4,loveian16 (),Re,Sun Aug 23 07:36:52 2020
1,6,-5,xvited945 (sk0k0),Re,Sun Aug 23 06:48:14 2020
22,5,17,edwardsyo (愛德華),[問卦] 美國左膠為什麼會舔共,Sun Aug 23 01:39:53 2020
5,5,0,Adamcolton (Coolmint),Re,Sun Aug 23 00:08:05 2020
69,17,52,volcom (優質建商),[問卦] 日本為何要花那麼多錢買F35,Sun Aug 23 00:20:06 2020
12,3,9,a111111 ( ),[問卦] 明朝是怎麼打敗蒙古帝國的？,Sun Aug 23 07:40:06 2020
